Churn,Contract,Dependents,DeviceProtection,InternetService,MonthlyCharges,MultipleLines,OnlineBackup,OnlineSecurity,PaperlessBilling,Partner,PaymentMethod,PhoneService,SeniorCitizen,StreamingMovies,StreamingTV,TechSupport,TotalCharges,customerID,gender,tenure
No,One year,Yes,No,Fiber optic,84.02,No,Yes,No internet service,No,Yes,Mailed check,Yes,1,No,Yes,No,2503.02,ID181,Male,30
No,Month-to-month,No,No,DSL,85.77,No,Yes,No internet service,No,No,Mailed check,Yes,0,No,Yes,Yes,3937.76,ID182,Female,5
No,Two year,No,No internet service,No,86.89,No,No internet service,Yes,No,No,Credit card,Yes,0,Yes,No internet service,No internet service,1814.72,ID183,Male,37
Yes,One year,No,No,DSL,50.47,No,Yes,No,No,No,Electronic check,No,0,No internet service,No,No internet service,5102.14,ID184,Female,48
No,Two year,Yes,No,Fiber optic,63.58,No,Yes,No,No,No,Credit card,Yes,0,Yes,Yes,Yes,3551.67,ID185,Female,17
No,Month-to-month,No,No internet service,DSL,89.96,Yes,Yes,No internet service,Yes,Yes,Mailed check,Yes,0,Yes,Yes,No,5605.51,ID186,Male,27
Yes,Month-to-month,No,No,No,90.53,No,No,Yes,Yes,No,Credit card,No,0,No,Yes,Yes,5171.32,ID187,Female,34
Yes,One year,No,No,No,102.38,No phone service,Yes,No internet service,No,Yes,Credit card,Yes,0,No internet service,No internet service,Yes,3476.6,ID188,Female,63
Yes,Two year,No,Yes,DSL,62.75,No phone service,Yes,No,No,Yes,Electronic check,Yes,0,Yes,Yes,No internet service,3332.19,ID189,Male,28
Yes,One year,No,No internet service,DSL,69.6,No,Yes,No internet service,No,No,Mailed check,Yes,0,Yes,No internet service,No,3989.21,ID190,Female,54
Yes,One year,Yes,No,No,108.16,No,No,Yes,No,No,Electronic check,No,0,No,Yes,Yes,1128.92,ID191,Female,26
No,Month-to-month,No,No internet service,Fiber optic,111.15,No phone service,No,No,Yes,No,Electronic check,No,0,Yes,No,Yes,1355.14,ID192,Male,21
Yes,One year,Yes,Yes,No,18.83,No phone service,No internet service,No,Yes,Yes,Bank transfer,Yes,1,Yes,No,No,5058.29,ID193,Female,43
No,Month-to-month,No,No internet service,Fiber optic,22.98,Yes,No internet service,No,No,No,Mailed check,Yes,1,No internet service,No,No,902.33,ID194,Male,19
Yes,Month-to-month,Yes,Yes,No,50.96,No,No internet service,No internet service,Yes,No,Mailed check,No,1,Yes,No,No,3080.78,ID195,Male,25
Yes,Two year,Yes,No internet service,DSL,98.09,Yes,Yes,Yes,No,No,Bank transfer,No,0,No,No internet service,No internet service,4594.21,ID196,Female,67
Yes,Month-to-month,No,No internet service,No,54.42,No phone service,No internet service,No internet service,No,No,Mailed check,No,1,No,No internet service,Yes,4563.79,ID197,Female,25
No,Month-to-month,Yes,No,Fiber optic,102.68,Yes,No,No,No,No,Mailed check,Yes,0,Yes,No,Yes,30.48,ID198,Female,36
No,Two year,Yes,No,Fiber optic,92.09,No phone service,No internet service,No,No,Yes,Bank transfer,Yes,0,No internet service,No internet service,No,7469.65,ID199,Male,2
No,One year,No,No,Fiber optic,34.19,Yes,No,No internet service,Yes,Yes,Credit card,Yes,0,Yes,Yes,Yes,2323.97,ID200,Male,34
Yes,Month-to-month,Yes,No,No,113.64,Yes,No internet service,Yes,No,No,Mailed check,No,1,No,No,No,3099.59,ID201,Female,55
Yes,Month-to-month,Yes,Yes,DSL,35.48,No phone service,Yes,Yes,No,Yes,Mailed check,No,0,No internet service,Yes,No,5509.28,ID202,Female,23
No,Two year,Yes,No,DSL,111.15,No phone service,No internet service,Yes,Yes,No,Credit card,Yes,1,No internet service,No,No internet service,6533.01,ID203,Female,45
Yes,Two year,No,Yes,DSL,31.81,Yes,No internet service,No internet service,Yes,Yes,Bank transfer,Yes,0,No,No internet service,Yes,7348.61,ID204,Male,18
No,Month-to-month,Yes,No internet service,Fiber optic,76.51,No,No,No,No,Yes,Bank transfer,Yes,1,Yes,Yes,No,8589.48,ID205,Male,55
Yes,Month-to-month,No,No internet service,DSL,37.17,Yes,Yes,Yes,Yes,Yes,Bank transfer,Yes,1,No,No,No internet service,6094.86,ID206,Female,9
No,Month-to-month,Yes,Yes,Fiber optic,89.21,No,No,No internet service,Yes,No,Credit card,Yes,0,Yes,No,No internet service,5314.65,ID207,Female,28
No,Month-to-month,No,No internet service,No,82.89,Yes,Yes,No,Yes,No,Electronic check,No,1,No internet service,Yes,Yes,7004.02,ID208,Male,18
Yes,Month-to-month,Yes,No,Fiber optic,53.24,No phone service,No,No internet service,No,No,Electronic check,No,0,Yes,Yes,Yes,2737.42,ID209,Female,32
Yes,Two year,Yes,No,Fiber optic,46.37,No phone service,No,No,No,Yes,Mailed check,Yes,1,Yes,Yes,No internet service,5809.32,ID210,Female,61
No,Two year,Yes,No internet service,No,73.13,Yes,No,No,Yes,Yes,Bank transfer,Yes,0,No internet service,No,No internet service,6099.67,ID211,Female,15
No,Month-to-month,Yes,No internet service,DSL,18.33,Yes,No,No internet service,No,Yes,Bank transfer,No,0,No internet service,Yes,Yes,7480.2,ID212,Male,66
No,Month-to-month,No,Yes,Fiber optic,73.51,No,No internet service,Yes,Yes,No,Credit card,Yes,1,Yes,No internet service,Yes,6146.05,ID213,Male,69
No,One year,Yes,No,No,66.6,No phone service,No,Yes,Yes,Yes,Credit card,Yes,1,No internet service,Yes,No internet service,8125.9,ID214,Female,45
No,Two year,Yes,No,DSL,33.87,Yes,No,No internet service,No,No,Mailed check,Yes,0,Yes,No internet service,Yes,8264.83,ID215,Male,7
Yes,Two year,Yes,Yes,Fiber optic,74.4,No,No internet service,Yes,Yes,Yes,Bank transfer,No,0,No internet service,No,Yes,8470.46,ID216,Male,20
No,Month-to-month,Yes,Yes,No,81.82,No,No,No,No,Yes,Mailed check,Yes,0,No,Yes,No internet service,8064.88,ID217,Female,5
Yes,Two year,Yes,No internet service,DSL,69.05,No phone service,No internet service,No internet service,No,Yes,Credit card,Yes,0,Yes,No,Yes,4252.23,ID218,Male,36
No,Two year,No,Yes,DSL,94.2,No phone service,No internet service,No,No,Yes,Credit card,Yes,0,No internet service,No internet service,No internet service,639.8,ID219,Male,20
Yes,One year,No,No internet service,DSL,92.33,No,No internet service,No internet service,No,Yes,Electronic check,No,1,No internet service,No,No internet service,1153.03,ID220,Female,29
Yes,One year,Yes,No,Fiber optic,50.91,No,No,Yes,Yes,Yes,Bank transfer,No,0,No,No,No internet service,129.48,ID221,Male,33
No,One year,Yes,Yes,Fiber optic,104.54,No phone service,No internet service,Yes,No,No,Bank transfer,No,0,No internet service,Yes,No,5658.85,ID222,Male,66
Yes,Two year,Yes,No internet service,DSL,64.17,No phone service,Yes,No,Yes,Yes,Electronic check,Yes,1,No internet service,No internet service,No,999.92,ID223,Male,46
Yes,Two year,Yes,No internet service,DSL,88.05,No phone service,No internet service,No internet service,Yes,No,Bank transfer,No,0,No,No internet service,No,5642.94,ID224,Male,56
Yes,One year,Yes,Yes,DSL,74.55,No,No internet service,Yes,No,No,Credit card,Yes,0,No,No internet service,No internet service,7645.2,ID225,Female,62
Yes,Two year,Yes,No internet service,DSL,113.36,Yes,No,Yes,No,No,Mailed check,No,1,No,No internet service,Yes,2546.29,ID226,Male,32
No,One year,No,No internet service,Fiber optic,67.98,No,No internet service,Yes,Yes,No,Electronic check,No,0,No,No,Yes,6691.21,ID227,Female,32
Yes,Two year,No,Yes,No,52.53,No,Yes,No internet service,Yes,No,Electronic check,No,0,No internet service,No internet service,No,4029.11,ID228,Female,30
No,Two year,No,No,DSL,53.91,Yes,Yes,No internet service,No,Yes,Bank transfer,No,1,No,Yes,No,5047.13,ID229,Female,23
No,Two year,No,No,DSL,111.81,No,No,Yes,No,Yes,Electronic check,Yes,0,Yes,No,No internet service,958.65,ID230,Male,36
No,One year,No,No internet service,DSL,89.84,Yes,No,Yes,No,Yes,Electronic check,No,0,No,No internet service,Yes,132.21,ID231,Female,12
Yes,Two year,No,Yes,DSL,58.81,No,No,No,No,No,Credit card,No,0,No internet service,No,No,4666.75,ID232,Female,37
No,Two year,No,Yes,DSL,75.7,No phone service,No,Yes,No,No,Credit card,Yes,1,No,Yes,No,4914.64,ID233,Male,68
No,Two year,Yes,No internet service,Fiber optic,18.52,No phone service,No internet service,Yes,No,No,Bank transfer,No,1,No,Yes,No,3787.16,ID234,Male,44
No,Two year,No,No,No,61.79,No,No internet service,Yes,No,No,Electronic check,No,0,No,Yes,No,1914.71,ID235,Female,40
Yes,One year,No,No,Fiber optic,63.32,No phone service,No internet service,Yes,Yes,Yes,Electronic check,No,0,Yes,No,No,1077.65,ID236,Male,70
Yes,One year,Yes,No internet service,Fiber optic,118.02,No,Yes,Yes,No,No,Mailed check,Yes,1,No internet service,No internet service,No,3326.05,ID237,Female,14
Yes,Month-to-month,Yes,Yes,Fiber optic,110.23,No phone service,No,Yes,Yes,No,Credit card,No,1,No internet service,No,No internet service,5925.25,ID238,Female,21
No,Month-to-month,No,No,Fiber optic,80.28,No phone service,No,Yes,Yes,No,Bank transfer,No,1,No,Yes,No,3422.72,ID239,Male,44
No,One year,No,Yes,DSL,95.21,No phone service,Yes,No,No,Yes,Credit card,Yes,1,Yes,No internet service,Yes,5717.76,ID240,Female,35
No,Two year,Yes,No,DSL,35.16,No,Yes,No internet service,No,No,Electronic check,No,0,Yes,No internet service,No,2892.01,ID241,Male,21
Yes,One year,Yes,Yes,Fiber optic,107.17,No phone service,Yes,Yes,No,No,Mailed check,No,1,No internet service,No internet service,No,2432.35,ID242,Male,50
Yes,One year,Yes,Yes,DSL,37.94,No phone service,Yes,Yes,Yes,No,Credit card,Yes,0,No,No,Yes,3306.16,ID243,Female,35
Yes,Month-to-month,Yes,No,Fiber optic,54.71,No,Yes,No,No,Yes,Electronic check,Yes,0,No internet service,No internet service,No internet service,2861.24,ID244,Female,64
Yes,Two year,No,Yes,Fiber optic,78.78,Yes,No,Yes,Yes,Yes,Electronic check,Yes,1,Yes,Yes,No,5250.91,ID245,Male,8
Yes,One year,No,Yes,DSL,65.76,No,Yes,Yes,Yes,No,Mailed check,Yes,0,No,No internet service,Yes,6024.36,ID246,Male,14
No,Two year,No,No,No,72.66,Yes,Yes,No internet service,No,Yes,Electronic check,Yes,0,Yes,Yes,Yes,3553.38,ID247,Male,52
No,Two year,Yes,No internet service,No,49.2,Yes,No,Yes,No,No,Electronic check,No,1,Yes,Yes,Yes,700.16,ID248,Female,11
Yes,Month-to-month,No,Yes,Fiber optic,107.29,No phone service,No,No,Yes,No,Bank transfer,No,1,No,No internet service,No internet service,8423.01,ID249,Male,71
Yes,Two year,No,No internet service,Fiber optic,48.81,No phone service,No internet service,No,Yes,Yes,Electronic check,Yes,1,No,No,Yes,3220.3,ID250,Female,32
Yes,Month-to-month,Yes,No internet service,No,19.78,Yes,Yes,Yes,Yes,No,Electronic check,No,1,No,No internet service,Yes,5786.21,ID251,Female,8
No,One year,No,No,Fiber optic,36.94,No,Yes,Yes,Yes,Yes,Electronic check,Yes,0,No,No,Yes,7396.52,ID252,Female,41
No,Month-to-month,Yes,No internet service,Fiber optic,109.09,Yes,No internet service,No,No,No,Electronic check,Yes,1,Yes,Yes,No internet service,1476.32,ID253,Female,64
Yes,One year,Yes,No,Fiber optic,68.37,Yes,No internet service,No,No,Yes,Credit card,No,1,Yes,No internet service,No internet service,3024.03,ID254,Female,52
Yes,Month-to-month,No,Yes,Fiber optic,28.54,No,No internet service,No,No,Yes,Electronic check,No,1,No internet service,No,No,1513.66,ID255,Female,70
No,One year,No,Yes,Fiber optic,88.55,Yes,Yes,No internet service,Yes,Yes,Mailed check,No,0,No,No internet service,No,2493.17,ID256,Female,32
Yes,Two year,Yes,No,Fiber optic,112.68,No,No internet service,No internet service,No,Yes,Electronic check,No,0,Yes,Yes,No,6568.24,ID257,Male,11
Yes,Month-to-month,No,Yes,Fiber optic,109.45,No phone service,No,Yes,No,Yes,Mailed check,Yes,1,No internet service,No,No,2500.01,ID258,Male,51
Yes,One year,Yes,No,No,109.42,No,No internet service,No internet service,No,No,Credit card,Yes,0,Yes,No,Yes,908.21,ID259,Female,12
No,Month-to-month,No,No,Fiber optic,45.77,Yes,No internet service,Yes,No,No,Credit card,Yes,0,No,Yes,Yes,1985.23,ID260,Female,2
No,Month-to-month,Yes,No,Fiber optic,38.92,Yes,No,No,No,Yes,Credit card,No,0,No internet service,No,Yes,2575.21,ID261,Male,54
Yes,Month-to-month,No,No internet service,Fiber optic,92.15,No,No internet service,No internet service,No,Yes,Credit card,Yes,0,No internet service,No,Yes,7982.08,ID262,Female,46
No,Two year,No,No,No,84.3,No phone service,Yes,Yes,Yes,No,Credit card,No,1,No internet service,No,No,5369.74,ID263,Male,48
Yes,One year,Yes,No internet service,DSL,110.48,No phone service,No internet service,No internet service,Yes,Yes,Credit card,Yes,0,Yes,No,Yes,272.07,ID264,Male,30
Yes,One year,No,No,Fiber optic,116.52,Yes,Yes,No,Yes,No,Bank transfer,No,0,Yes,Yes,No internet service,1956.89,ID265,Female,17
No,Month-to-month,Yes,No internet service,DSL,83.8,No phone service,No internet service,No internet service,Yes,No,Credit card,Yes,0,No,Yes,No internet service,8497.74,ID266,Male,61
Yes,One year,No,No,Fiber optic,92.5,No,No internet service,No internet service,No,Yes,Mailed check,Yes,0,Yes,Yes,No internet service,7482.01,ID267,Female,48
Yes,Month-to-month,No,No,Fiber optic,68.73,No,Yes,Yes,Yes,Yes,Electronic check,No,1,Yes,Yes,Yes,2722.26,ID268,Female,71
No,Month-to-month,Yes,Yes,Fiber optic,88.62,No,No internet service,No,No,Yes,Credit card,Yes,1,Yes,Yes,Yes,8081.52,ID269,Female,37
No,One year,Yes,No internet service,DSL,75.27,No,Yes,Yes,No,Yes,Mailed check,No,1,No,No,Yes,8227.74,ID270,Female,36
No,Two year,Yes,Yes,DSL,20.64,No phone service,No internet service,No,No,No,Credit card,No,1,Yes,No internet service,No,4542.84,ID271,Male,63
Yes,Month-to-month,Yes,No,Fiber optic,40.58,No phone service,No,No,No,Yes,Electronic check,Yes,1,Yes,No,No internet service,2745.61,ID272,Female,35
No,One year,No,No,Fiber optic,85.53,Yes,No internet service,Yes,Yes,No,Bank transfer,Yes,1,No internet service,No,Yes,8185.51,ID273,Male,60
No,Month-to-month,No,No,DSL,57.54,No,No internet service,No internet service,No,Yes,Mailed check,Yes,1,No,No,No internet service,8182.35,ID274,Male,66
No,One year,No,No internet service,DSL,91.61,No,No internet service,Yes,No,No,Bank transfer,Yes,1,No,No,Yes,8212.48,ID275,Female,69
Yes,One year,No,No internet service,DSL,58.47,No phone service,No internet service,No,Yes,No,Credit card,No,1,No,No,Yes,2106.13,ID276,Female,30
No,Two year,Yes,Yes,Fiber optic,70.68,Yes,No,No internet service,No,No,Mailed check,Yes,1,No,No,No,7586.75,ID277,Female,52
No,Two year,Yes,No internet service,No,21.11,Yes,No internet service,No internet service,Yes,Yes,Bank transfer,No,1,No,No,No internet service,712.84,ID278,Female,63
Yes,One year,Yes,No,DSL,22.5,No phone service,Yes,No internet service,No,Yes,Bank transfer,Yes,0,Yes,No internet service,No,8486.44,ID279,Female,46
Yes,Month-to-month,Yes,Yes,DSL,116.24,Yes,No internet service,No,No,No,Credit card,Yes,0,No internet service,No internet service,Yes,6604.09,ID280,Female,71
Yes,One year,No,Yes,DSL,54.2,Yes,Yes,No,No,Yes,Bank transfer,No,0,No,No,No,2376.04,ID281,Male,28
Yes,Month-to-month,No,No,DSL,56.9,No phone service,Yes,No internet service,No,No,Mailed check,Yes,1,Yes,No internet service,Yes,6822.41,ID282,Female,48
No,Month-to-month,No,No internet service,Fiber optic,62.16,No,Yes,Yes,Yes,No,Electronic check,Yes,1,No,Yes,No,3413.9,ID283,Female,64
No,One year,Yes,No,Fiber optic,34.44,Yes,No internet service,No,Yes,No,Electronic check,Yes,0,Yes,Yes,No,5466.0,ID284,Female,34
No,Two year,No,Yes,DSL,54.5,No phone service,No internet service,No,No,No,Credit card,Yes,1,No,No internet service,No internet service,3221.37,ID285,Male,51
Yes,Month-to-month,Yes,No,DSL,22.46,No,No,Yes,No,Yes,Electronic check,Yes,1,No,Yes,Yes,5074.3,ID286,Female,8
No,One year,Yes,Yes,No,110.63,No phone service,Yes,Yes,Yes,No,Credit card,No,1,Yes,No,No internet service,4465.86,ID287,Female,49
Yes,One year,No,No,DSL,72.49,No,Yes,Yes,No,Yes,Bank transfer,No,1,No,No internet service,No internet service,2140.36,ID288,Male,64
Yes,One year,Yes,Yes,No,55.33,No phone service,No,No,Yes,No,Mailed check,Yes,0,No internet service,Yes,Yes,4580.98,ID289,Female,60
Yes,Two year,Yes,No,DSL,62.21,Yes,No internet service,No,Yes,No,Mailed check,No,1,No internet service,No,Yes,3365.76,ID290,Male,37
Yes,One year,Yes,Yes,DSL,99.18,Yes,No internet service,No internet service,Yes,Yes,Credit card,No,1,Yes,Yes,Yes,8387.93,ID291,Male,63
No,Month-to-month,No,Yes,Fiber optic,98.71,No phone service,Yes,No internet service,Yes,No,Mailed check,No,1,Yes,No,No,2226.56,ID292,Female,22
Yes,Month-to-month,Yes,Yes,No,90.2,No phone service,Yes,Yes,Yes,Yes,Bank transfer,No,0,No internet service,No,No internet service,6592.18,ID293,Female,62
Yes,One year,No,No internet service,DSL,105.32,Yes,No internet service,No internet service,No,No,Mailed check,No,1,No internet service,Yes,No,5757.4,ID294,Male,42
Yes,Month-to-month,Yes,No,DSL,34.22,No phone service,No,No internet service,No,No,Electronic check,No,1,Yes,No,No internet service,2593.19,ID295,Female,41
Yes,Month-to-month,No,No,No,60.41,Yes,No,No internet service,Yes,Yes,Bank transfer,Yes,1,No,No internet service,No internet service,2444.38,ID296,Female,16
No,Two year,Yes,Yes,Fiber optic,98.59,Yes,No internet service,Yes,No,No,Credit card,Yes,0,Yes,No,No internet service,4785.5,ID297,Female,68
No,Month-to-month,No,Yes,Fiber optic,87.07,No phone service,Yes,Yes,Yes,No,Bank transfer,No,0,Yes,No internet service,No,1357.62,ID298,Female,66
No,Month-to-month,No,No internet service,Fiber optic,75.5,No,No internet service,No internet service,Yes,Yes,Bank transfer,Yes,0,Yes,No,No,2138.36,ID299,Female,39
Yes,Two year,Yes,Yes,DSL,111.72,Yes,Yes,No,No,Yes,Mailed check,Yes,0,No,No,No internet service,5215.98,ID300,Female,36
No,Month-to-month,Yes,Yes,DSL,65.51,No,Yes,No,No,No,Bank transfer,No,1,No internet service,No,No,7013.26,ID301,Male,31
Yes,Month-to-month,No,No,DSL,116.56,No,No,No,No,No,Bank transfer,Yes,0,Yes,Yes,No,843.14,ID302,Female,46
Yes,One year,Yes,No,No,97.66,No,No,Yes,Yes,No,Mailed check,No,1,No internet service,No internet service,No internet service,6450.01,ID303,Male,1
Yes,Month-to-month,No,No,No,40.07,No,No,Yes,No,Yes,Electronic check,Yes,1,Yes,Yes,No internet service,7789.6,ID304,Male,33
Yes,One year,Yes,No,No,72.33,Yes,No,No internet service,No,No,Bank transfer,No,1,No internet service,No,No internet service,7739.22,ID305,Male,16
No,Two year,Yes,No,Fiber optic,33.24,Yes,No,Yes,No,No,Bank transfer,No,1,No,Yes,Yes,298.64,ID306,Female,26
Yes,Month-to-month,No,No,Fiber optic,33.16,No,Yes,No internet service,No,Yes,Electronic check,No,1,No internet service,No,No internet service,5445.37,ID307,Female,24
No,Two year,No,No,Fiber optic,111.45,No phone service,No,No internet service,Yes,Yes,Mailed check,No,1,Yes,No internet service,Yes,3489.43,ID308,Male,24
Yes,One year,Yes,No,No,23.35,No phone service,No internet service,Yes,No,Yes,Bank transfer,Yes,1,No internet service,No,No,2297.25,ID309,Male,64
No,One year,No,Yes,DSL,113.31,No phone service,Yes,Yes,No,No,Credit card,No,0,Yes,No,No internet service,4280.23,ID310,Male,13
No,One year,No,No,Fiber optic,49.22,No,Yes,Yes,Yes,Yes,Credit card,Yes,1,Yes,Yes,No internet service,3586.28,ID311,Male,45
Yes,Month-to-month,Yes,No internet service,No,62.36,No phone service,Yes,No internet service,No,No,Bank transfer,No,0,No internet service,Yes,No internet service,2887.9,ID312,Male,56
Yes,Two year,Yes,No internet service,Fiber optic,102.6,Yes,No internet service,No,Yes,No,Mailed check,Yes,0,Yes,No internet service,No,5375.08,ID313,Male,59
Yes,One year,Yes,No,Fiber optic,74.92,No phone service,No,No internet service,No,No,Electronic check,No,1,No,No internet service,Yes,5214.81,ID314,Female,22
No,Month-to-month,No,Yes,No,85.3,Yes,No internet service,No,No,Yes,Electronic check,Yes,1,No,No internet service,No internet service,2184.43,ID315,Male,39
Yes,Two year,Yes,No,DSL,26.71,No,No,No internet service,Yes,No,Credit card,Yes,0,No,No internet service,No internet service,1914.68,ID316,Male,1
No,Month-to-month,Yes,No internet service,DSL,24.24,No,No internet service,No internet service,Yes,No,Electronic check,No,0,No,No internet service,No internet service,6520.66,ID317,Male,11
Yes,One year,No,Yes,Fiber optic,31.63,No phone service,Yes,No internet service,Yes,No,Bank transfer,Yes,1,No internet service,No,No,6291.23,ID318,Male,61
No,One year,No,No,Fiber optic,79.98,No,Yes,No,No,No,Bank transfer,No,0,No,No internet service,Yes,994.78,ID319,Male,31
Yes,One year,No,No internet service,Fiber optic,51.02,No phone service,No,No internet service,Yes,Yes,Electronic check,Yes,1,No internet service,No,No,7052.96,ID320,Female,29
Yes,Month-to-month,No,No internet service,DSL,57.96,No,Yes,No,No,Yes,Electronic check,No,0,No internet service,No,No internet service,2329.11,ID321,Female,1
Yes,Month-to-month,No,No,DSL,114.29,Yes,Yes,No,No,Yes,Electronic check,No,1,No internet service,Yes,No,6788.99,ID322,Male,36
No,One year,No,No,No,24.3,No,No,Yes,No,No,Bank transfer,Yes,1,No internet service,No internet service,No internet service,754.36,ID323,Male,62
No,One year,No,Yes,No,113.0,No,No internet service,No internet service,Yes,Yes,Mailed check,No,0,No,No internet service,No,4985.08,ID324,Female,50
No,One year,No,Yes,Fiber optic,20.72,No,Yes,No internet service,Yes,Yes,Electronic check,No,1,No internet service,No internet service,Yes,1629.83,ID325,Female,24
No,Month-to-month,No,Yes,Fiber optic,113.73,Yes,No internet service,No,Yes,No,Bank transfer,No,0,No internet service,No internet service,Yes,1731.11,ID326,Female,29
Yes,Two year,Yes,No internet service,No,109.09,No phone service,No internet service,No internet service,Yes,No,Bank transfer,Yes,1,No,Yes,Yes,5738.03,ID327,Male,48
No,Month-to-month,Yes,No internet service,No,57.13,No,Yes,No internet service,No,Yes,Electronic check,Yes,1,Yes,No,Yes,3930.31,ID328,Male,62
Yes,Month-to-month,Yes,No internet service,No,43.93,Yes,No internet service,No,No,No,Bank transfer,No,0,Yes,Yes,Yes,4994.19,ID329,Male,61
Yes,Month-to-month,Yes,No internet service,No,96.12,Yes,No internet service,Yes,Yes,No,Credit card,Yes,0,Yes,No,No internet service,2594.05,ID330,Male,37
Yes,One year,No,No,Fiber optic,82.55,No,No,Yes,No,No,Credit card,Yes,1,No internet service,Yes,No,4049.11,ID331,Female,64
Yes,Month-to-month,No,No internet service,No,109.11,No phone service,No,No internet service,No,Yes,Electronic check,Yes,1,Yes,No,Yes,4282.6,ID332,Male,36
No,Month-to-month,No,No internet service,Fiber optic,115.09,No,Yes,Yes,No,Yes,Bank transfer,No,1,No,Yes,No internet service,2962.84,ID333,Male,60
Yes,One year,No,No internet service,No,34.31,No,Yes,No internet service,No,Yes,Credit card,Yes,1,No internet service,Yes,No internet service,6658.58,ID334,Male,61
No,Month-to-month,No,Yes,No,65.2,No phone service,No,Yes,Yes,No,Electronic check,No,0,Yes,No internet service,Yes,4380.43,ID335,Male,23
No,Two year,Yes,No,Fiber optic,36.96,No,No internet service,No internet service,Yes,No,Credit card,Yes,0,No internet service,Yes,No,2855.62,ID336,Female,7
No,Month-to-month,Yes,No,DSL,36.29,No,No internet service,No internet service,Yes,Yes,Electronic check,Yes,1,No internet service,Yes,No internet service,5471.23,ID337,Female,21
Yes,Month-to-month,No,Yes,No,40.75,No,Yes,No internet service,No,No,Bank transfer,No,1,No internet service,No internet service,Yes,3504.04,ID338,Female,39
No,Two year,No,No,No,106.3,No,No internet service,No,No,No,Bank transfer,No,1,No,No internet service,No,3443.25,ID339,Male,2
Yes,One year,Yes,No internet service,Fiber optic,62.54,No phone service,No,No internet service,No,No,Bank transfer,Yes,0,Yes,No internet service,No,8522.65,ID340,Female,49
No,Two year,No,Yes,Fiber optic,78.07,No,No internet service,Yes,Yes,Yes,Bank transfer,Yes,1,No internet service,No internet service,Yes,7154.94,ID341,Female,28
No,Month-to-month,No,No,DSL,78.9,No phone service,No internet service,No internet service,No,Yes,Bank transfer,Yes,0,No internet service,Yes,No,8277.62,ID342,Male,54
Yes,Two year,Yes,No,No,97.83,No,No,Yes,No,Yes,Electronic check,No,0,No,Yes,Yes,663.9,ID343,Female,58
No,Month-to-month,Yes,No internet service,Fiber optic,52.97,Yes,Yes,Yes,Yes,No,Bank transfer,No,1,Yes,Yes,No internet service,566.17,ID344,Female,14
Yes,One year,Yes,No,Fiber optic,39.96,No,Yes,No,Yes,Yes,Mailed check,Yes,0,No,No,No,6252.47,ID345,Male,18
No,Month-to-month,Yes,Yes,DSL,104.79,Yes,Yes,No,No,No,Electronic check,No,0,No,No internet service,Yes,1400.44,ID346,Female,2
No,Month-to-month,No,No internet service,Fiber optic,18.78,No,No,No,No,Yes,Mailed check,Yes,1,No,Yes,No,2903.04,ID347,Male,50
No,One year,Yes,No internet service,DSL,75.99,No,No internet service,No internet service,No,No,Mailed check,Yes,1,No,Yes,No,7479.76,ID348,Female,12
No,Month-to-month,No,No,No,83.1,No,No internet service,Yes,Yes,No,Credit card,No,1,No internet service,Yes,No internet service,2834.38,ID349,Female,47
No,One year,No,No internet service,Fiber optic,54.69,Yes,Yes,No internet service,Yes,Yes,Bank transfer,Yes,1,No internet service,No,Yes,8300.43,ID350,Female,39
No,One year,Yes,No internet service,DSL,98.62,Yes,No internet service,No,No,Yes,Credit card,No,0,No,No,No,2462.91,ID351,Male,26
Yes,One year,Yes,No,Fiber optic,89.29,Yes,No,Yes,Yes,No,Electronic check,No,0,No,Yes,No internet service,3623.77,ID352,Female,14
No,Two year,Yes,Yes,DSL,52.8,No,No,No internet service,No,No,Mailed check,No,0,No internet service,No,Yes,3336.4,ID353,Male,50
No,Two year,Yes,No,No,99.37,No,No,No internet service,Yes,Yes,Bank transfer,No,1,No internet service,Yes,No internet service,5422.11,ID354,Male,60
No,Month-to-month,No,No,No,89.89,No phone service,No internet service,No,Yes,Yes,Credit card,No,0,Yes,No internet service,No internet service,236.44,ID355,Female,55
Yes,Two year,Yes,Yes,DSL,67.47,No phone service,Yes,No internet service,Yes,No,Electronic check,No,0,Yes,Yes,No,7297.06,ID356,Male,2
No,One year,No,No,No,60.33,No phone service,No internet service,No internet service,No,Yes,Mailed check,Yes,1,No internet service,No,No,6966.54,ID357,Female,44
No,Two year,Yes,No internet service,No,49.05,No,Yes,No internet service,Yes,Yes,Electronic check,Yes,1,No,Yes,No internet service,3773.62,ID358,Male,7
Yes,Two year,Yes,No,Fiber optic,93.06,No phone service,No internet service,Yes,No,Yes,Mailed check,Yes,1,Yes,Yes,No internet service,3929.1,ID359,Female,69
Yes,One year,Yes,Yes,No,107.09,Yes,No internet service,No,No,Yes,Mailed check,Yes,0,Yes,Yes,No internet service,5534.24,ID360,Male,14
Yes,Two year,Yes,No internet service,No,19.6,No,No internet service,No internet service,Yes,Yes,Mailed check,No,0,No,No internet service,No,6735.6,ID361,Male,44
Yes,Month-to-month,Yes,No,No,103.15,No phone service,Yes,Yes,Yes,Yes,Bank transfer,No,0,No internet service,Yes,Yes,2001.83,ID362,Male,69
No,Month-to-month,No,No,No,107.1,No phone service,No,No internet service,Yes,No,Electronic check,No,0,No,Yes,Yes,347.53,ID363,Male,50
